毕业学校 ,工作地址（父亲,工作地址（母亲
上海市格致初级中学,上海市政协办公厅,东方航空
上海市大同初级中学,恒珺房地产营销策划有限公司,上海家门口地产开发有限公司
黄浦区教育学院附属中山学校,上海市黄浦区疾病预防控制中心,上海市黄浦区疾病预防控制中心
上海市建平实验中学,浦发银行上海分行,维联传热技术（上海）有限公司
民办立达中学,上海市公安局浦东分局,上海监狱总医院
民办上海上外静安外国语中学,上海市公安局交警总队,民办上海上外静安外国语小学
华东师范大学第四附属学校,上海维度律师事务所,长宁公证处
上海市敬业初级中学,自由职业,退休
上海市第十中学,上海天荟广告有限公司,上海迅智体育管理有限公司
上海市建平中学西校,中国商飞上海飞机设计研究院,上海市委统战部
上海市尚文中学,麦格纳澜赫传动系统上海有限公司,中煤地质集团有限公司上海分公司
上海市大同初级中学,上海虹梅商业控股有限公司,上海虹梅商业控股有限公司
上海市格致初级中学,上海百盛房地产股价有限责任公司,上海市格致初级中学
上海中学东校,安捷伦科技上海有限公司,中国科技院上海天文台
上海市向明初级中学,上海畅联国际物流股份有限公司,日电产三协电子上海有限公司
上海大学附属宝山外国语学校,上海宝山区就业促进中心,上海宝山区就业促进中心
上海市向明初级中学,新城控股集团有限公司,上海东湖宾馆有限公司
上海市向明初级中学,上海交通大学医学院附属瑞金医院,上海交通大学医学院附属瑞金医院
上海音乐学院附属黄浦乐中学,上海纺织控股集团公司委员会党校,湖南医药学院
上外附属大境初级中学,上海市光明奶酪黄油有限公司,上海好饰家建材园艺超市有限公司
上海市进才实验中学,国家电网有限公司华东分部,上海市北蔡中学
上海市敬业初级中学,上海中福集团有限公司,中国太平洋集团上海分公司
上海市向明初级中学,上海市城市规划设计研究院,上海市文化和旅游局
上海市陆行中学北校,,浦东图书馆
上海市市南中学,上海市大境中学,上海市第一食品商店
民办立达中学,,上海上咨工程造价咨询有限公司
上海市市八初级中学,上海市点泽智能科技有限公司,上海市旻稳实业有限公司
上海市市南中学,浦东新区永泰陆派出所,上海市大境中学
民办立达中学,上海新湖房地产开发有限公司,复旦大学附属中山医院
民办立达中学,上海久隆企业管理咨询有限公司,中铁上海设计院集团有限公司
上海市市南中学,其他,其他
上海市航华中学,上药控股有限公司,上药控股有限公司
上海市向明初级中学,上海长泰商业敬业管理有限公司,美银宝网络信息服务有限公司
上海市莘光中学,,上海闵悦房地产经纪有限公司
上海市格致初级中学,风暴国际贸易有限公司,风暴国际贸易有限公司
上海市闵行区七宝第二中学,上海市微岚工业产品设计有限公司,上海市微岚工业产品设计有限公司
上海市市南中学,上海市黄浦区王宝和大酒店,上海黄浦区海仑宾馆
上外附属大境初级,,香奈儿中国贸易有限公司
上海市格致初级中学,上海青眯商务咨询有限公司,张江国际青少年创新创业实践基地
上海市格致初级中学,金门大酒店,睿宝儿科
